tahun,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin,jumlah
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Utr,P. Panggang,Laki-laki,52
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Utr,P. Kelapa,Laki-laki,82
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Utr,P. Harapan,Laki-laki,16
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Slt,P. Untung Jawa,Laki-laki,18
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Slt,P. Tidung,Laki-laki,37
2017,Kab.Adm.Kep.Seribu,Kep. Seribu Slt,P. Pari,Laki-laki,21
2017,Jakarta Pusat,Gambir,Gambir,Laki-laki,11
2017,Jakarta Pusat,Gambir,Cideng,Laki-laki,83
2017,Jakarta Pusat,Gambir,Petojo Utara,Laki-laki,108
2017,Jakarta Pusat,Gambir,Petojo Selatan,Laki-laki,125
2017,Jakarta Pusat,Gambir,Kebon Kelapa,Laki-laki,45
2017,Jakarta Pusat,Gambir,Duri Pulo,Laki-laki,130
2017,Jakarta Pusat,Sawah Besar,Pasar Baru,Laki-laki,48
2017,Jakarta Pusat,Sawah Besar,Karang Anyar,Laki-laki,194
2017,Jakarta Pusat,Sawah Besar,Kartini,Laki-laki,137
2017,Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,Laki-laki,91
2017,Jakarta Pusat,Sawah Besar,Mangga Dua Selatan,Laki-laki,207
2017,Jakarta Pusat,Kemayoran,Kemayoran,Laki-laki,151
2017,Jakarta Pusat,Kemayoran,Kebon Kosong,Laki-laki,211
2017,Jakarta Pusat,Kemayoran,Harapan Mulia,Laki-laki,200
2017,Jakarta Pusat,Kemayoran,Serdang,Laki-laki,233
2017,Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,Laki-laki,139
2017,Jakarta Pusat,Kemayoran,Cempaka Baru,Laki-laki,285
2017,Jakarta Pusat,Kemayoran,Sumur Batu,Laki-laki,164
2017,Jakarta Pusat,Kemayoran,Utan Panjang,Laki-laki,244
2017,Jakarta Pusat,Senen,Senen,Laki-laki,39
2017,Jakarta Pusat,Senen,Kenari,Laki-laki,69
2017,Jakarta Pusat,Senen,Paseban,Laki-laki,164
2017,Jakarta Pusat,Senen,Kramat,Laki-laki,190
2017,Jakarta Pusat,Senen,Kwitang,Laki-laki,101
2017,Jakarta Pusat,Senen,Bungur,Laki-laki,150
2017,Jakarta Pusat,Cempaka Putih,Cempaka Putih Timur,Laki-laki,153
2017,Jakarta Pusat,Cempaka Putih,Cempaka Putih Barat,Laki-laki,254
2017,Jakarta Pusat,Cempaka Putih,Rawasari,Laki-laki,174
2017,Jakarta Pusat,Menteng,Menteng,Laki-laki,163
2017,Jakarta Pusat,Menteng,Pegangsaan,Laki-laki,185
2017,Jakarta Pusat,Menteng,Cikini,Laki-laki,51
2017,Jakarta Pusat,Menteng,Gondangdia,Laki-laki,16
2017,Jakarta Pusat,Menteng,Kebon Sirih,Laki-laki,73
2017,Jakarta Pusat,Tanah Abang,Gelora,Laki-laki,27
2017,Jakarta Pusat,Tanah Abang,Bendungan Hilir,Laki-laki,152
2017,Jakarta Pusat,Tanah Abang,Karet Tengsin,Laki-laki,158
2017,Jakarta Pusat,Tanah Abang,Petamburan,Laki-laki,271
2017,Jakarta Pusat,Tanah Abang,Kebon Melati,Laki-laki,195
2017,Jakarta Pusat,Tanah Abang,Kebon Kacang,Laki-laki,152
2017,Jakarta Pusat,Tanah Abang,Kampung Bali,Laki-laki,76
2017,Jakarta Pusat,Johar Baru,Johar Baru,Laki-laki,274
2017,Jakarta Pusat,Johar Baru,Kampung Rawa,Laki-laki,164
2017,Jakarta Pusat,Johar Baru,Galur,Laki-laki,150
2017,Jakarta Pusat,Johar Baru,Tanah Tinggi,Laki-laki,298
2017,Jakarta Utara,Penjaringan,Penjaringan,Laki-laki,802
2017,Jakarta Utara,Penjaringan,Kamal Muara,Laki-laki,105
2017,Jakarta Utara,Penjaringan,Kapuk Muara,Laki-laki,237
2017,Jakarta Utara,Penjaringan,Pejagalan,Laki-laki,558
2017,Jakarta Utara,Penjaringan,Pluit,Laki-laki,318
2017,Jakarta Utara,Tanjung Priok,Tanjung Priok,Laki-laki,314
2017,Jakarta Utara,Tanjung Priok,Sunter Jaya,Laki-laki,509
2017,Jakarta Utara,Tanjung Priok,Papanggo,Laki-laki,320
2017,Jakarta Utara,Tanjung Priok,Sungai Bambu,Laki-laki,295
2017,Jakarta Utara,Tanjung Priok,Kebon Bawang,Laki-laki,496
2017,Jakarta Utara,Tanjung Priok,Sunter Agung,Laki-laki,502
2017,Jakarta Utara,Tanjung Priok,Warakas,Laki-laki,469
2017,Jakarta Utara,Koja,Koja,Laki-laki,276
2017,Jakarta Utara,Koja,Tugu Utara,Laki-laki,757
2017,Jakarta Utara,Koja,Lagoa,Laki-laki,635
2017,Jakarta Utara,Koja,Rawa Badak Utara,Laki-laki,355
2017,Jakarta Utara,Koja,Tugu Selatan,Laki-laki,418
2017,Jakarta Utara,Koja,Rawa Badak Selatan,Laki-laki,385
2017,Jakarta Utara,Cilincing,Cilincing,Laki-laki,506
2017,Jakarta Utara,Cilincing,Sukapura,Laki-laki,541
2017,Jakarta Utara,Cilincing,Marunda,Laki-laki,262
2017,Jakarta Utara,Cilincing,Kali Baru,Laki-laki,727
2017,Jakarta Utara,Cilincing,Semper Timur,Laki-laki,322
2017,Jakarta Utara,Cilincing,Rorotan,Laki-laki,407
2017,Jakarta Utara,Cilincing,Semper Barat,Laki-laki,681
2017,Jakarta Utara,Pademangan,Pademangan Timur,Laki-laki,301
